,Speaker,Date,Article_Link,Location,Word_Count,Inflation_Mentions,Expectation_Mentions,Resolve_Mentions,Optimism_Mentions,Recession_Mentions,Employment_Mentions,Unemployment_Mentions,Wage_Mentions,Instability_Mentions,Crisis_Mentions,Rate_Mentions,Spread_Mentions,Easing_Mentions,Tightening_Metions,Uncertainty_Mentions,Output_Mentions,Declining_Mentions,Rising_Mentions,Concern_Mentions,Labor_Mentions,Interest_Mentions
1_1,Governor Lisa D. Cook,2023-05-05,https://www.federalreserve.gov/newsevents/speech/cook20230505a.htm,"At the 2023 Spring Convocation, Michigan State University, East Lansing, Michigan",1509,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1_2,Governor Lisa D. Cook,2023-04-21,https://www.federalreserve.gov/newsevents/speech/cook20230421a.htm,"At the Carroll Round Keynote Speech, Georgetown University McDonough School of Business, Washington, D.C.",2279,29,0,0,0,0,6,4,6,0,0,12,0,1,2,0,0,0,0,0,13,2
1_3,Governor Michelle W. Bowman,2023-04-20,https://www.federalreserve.gov/newsevents/speech/bowman20230420a.htm,"At the Fed Listens Event hosted by the Federal Reserve Bank of Dallas, Odessa, Texas",569,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,4
1_4,Governor Christopher J. Waller,2023-04-20,https://www.federalreserve.gov/newsevents/speech/waller20230420a.htm,"At the Cryptocurrency and the Future of Global Finance, Sarasota, Florida",1923,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,1
1_5,Governor Michelle W. Bowman,2023-04-18,https://www.federalreserve.gov/newsevents/speech/bowman20230418a.htm,"At the Georgetown University McDonough School of Business Psaros Center for Financial Markets and Policy, Washington, DC",4087,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,1,2
1_6,Governor Michelle W. Bowman,2023-04-14,https://www.federalreserve.gov/newsevents/speech/bowman20230414a.htm,"At the Wharton Financial Regulation Conference, Philadelphia, Pennsylvania",4950,0,8,0,0,0,0,0,0,0,6,16,1,2,0,1,0,0,1,2,0,6
1_7,Governor Christopher J. Waller,2023-04-14,https://www.federalreserve.gov/newsevents/speech/waller20230414a.htm,"At the Graybar National Training Conference, San Antonio, Texas",1951,20,0,0,0,0,3,1,1,0,1,15,1,1,7,0,1,1,1,0,8,2
1_8,Governor Lisa D. Cook,2023-04-04,https://www.federalreserve.gov/newsevents/speech/cook20230404a.htm,"At ""Exploring Careers in Economics,"" a conference sponsored by the Board of Governors of the Federal Reserve System, Washington, D.C.",474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_9,Governor Christopher J. Waller,2023-03-31,https://www.federalreserve.gov/newsevents/speech/waller20230331a.htm,"At the Macroeconomics and Monetary Policy, a conference sponsored by the Federal Reserve Bank of San Francisco, San Francisco, California",2610,62,29,0,0,1,20,18,8,0,0,12,0,0,0,0,6,0,1,0,3,0
1_10,Governor Lisa D. Cook,2023-03-31,https://www.federalreserve.gov/newsevents/speech/cook20230331a.htm,"At the 2023 Midwest Economics Association 87th Annual Meeting, Cleveland, Ohio",2225,30,3,0,0,3,5,1,8,0,1,14,0,1,1,1,1,0,2,1,9,4
1_11,Vice Chair for Supervision Michael S. Barr,2023-03-29,https://www.federalreserve.gov/newsevents/speech/barr20230329a.htm,"At the National Community Reinvestment Coalition Just Economy Conference, Washington, D.C. (via prerecorded video)",686,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
1_12,Governor Philip N. Jefferson,2023-03-27,https://www.federalreserve.gov/newsevents/speech/jefferson20230327a.htm,"At the H. Parker Willis Lecture, Washington and Lee University, Lexington, Virginia",5350,18,5,0,0,0,6,1,0,0,1,167,0,4,9,0,0,0,0,1,0,66
1_13,Governor Michelle W. Bowman,2023-03-14,https://www.federalreserve.gov/newsevents/speech/bowman20230314a.htm,"At the Independent Community Bankers of America ICBA Live 2023 Conference, Honolulu, Hawaii",4949,0,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,3,0,8
1_14,Vice Chair for Supervision Michael S. Barr,2023-03-09,https://www.federalreserve.gov/newsevents/speech/barr20230309a.htm,"At the Peterson Institute for International Economics, Washington, D.C.",3462,0,8,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,2
1_15,Governor Michelle W. Bowman,2023-03-03,https://www.federalreserve.gov/newsevents/speech/bowman20230303a.htm,"At The Chicago Booth Initiative on Global Markets Workshop on Market Dysfunction, Chicago, Illinois",1113,0,0,0,0,0,0,0,0,1,1,9,0,1,1,0,0,0,0,0,0,0
1_16,Governor Christopher J. Waller,2023-03-02,https://www.federalreserve.gov/newsevents/speech/waller20230302a.htm,"At the Mid-Size Bank Coalition of America, Los Angeles, California (via webcast)",1366,26,1,0,0,0,8,1,2,0,0,12,0,1,1,0,0,1,0,0,11,1
1_17,Governor Philip N. Jefferson,2023-02-27,https://www.federalreserve.gov/newsevents/speech/jefferson20230227a.htm,"At the Ec10, Principles of Economics, Lecture, Faculty of Arts and Sciences, Harvard University, Cambridge, Massachusetts",4309,110,5,0,0,3,4,0,6,0,1,29,1,2,0,5,0,1,0,0,5,4
1_18,Governor Philip N. Jefferson,2023-02-24,https://www.federalreserve.gov/newsevents/speech/jefferson20230224a.htm,"At the U.S. Monetary Policy Forum, New York, New York",2630,79,12,1,0,4,2,1,0,0,0,16,0,3,5,0,4,0,0,0,13,6
1_19,Governor Lisa D. Cook,2023-02-16,https://www.federalreserve.gov/newsevents/speech/cook20230216a.htm,"At the Sadie Collective Research Reception, Washington, D.C.",1268,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1_20,Governor Michelle W. Bowman,2023-02-15,https://www.federalreserve.gov/newsevents/speech/bowman20230215a.htm,"At the Midwest Cyber Workshop, organized by the Federal Reserve Banks of Chicago, Kansas City, and St. Louis",2346,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
2_1,Governor Michelle W. Bowman,2023-02-13,https://www.federalreserve.gov/newsevents/speech/bowman20230213a.htm,"At the American Bankers Association Community Banking Conference, Orlando, Florida",3174,16,9,0,0,0,0,0,1,0,1,13,0,1,1,1,0,0,0,3,5,0
